ItemCode,DiscountPrice,OriginalPrice,GiftCode
206020-B,$237.49,$249.99,0
206020-C,$237.49,$249.99,0
206020-D,$237.49,$249.99,0
206020-E,$237.49,$249.99,0
206020-F,$237.49,$249.99,0
206020-G,$237.49,$249.99,0
206020-H,$237.49,$249.99,0
206020-I,$237.49,$249.99,0
206020-J,$237.49,$249.99,0
206020-K,$237.49,$249.99,0
206020-L,$237.49,$249.99,0
206020-M,$237.49,$249.99,0
206020-N,$237.49,$249.99,0
206020-O,$237.49,$249.99,0
206020-P,$237.49,$249.99,0
206020-Q,$237.49,$249.99,0
206020-R,$237.49,$249.99,0
206020-S,$237.49,$249.99,0
206020-T,$237.49,$249.99,0
206020-U,$237.49,$249.99,0
206020-V,$237.49,$249.99,0
206020-W,$237.49,$249.99,0
206020-X,$237.49,$249.99,0
206020-Y,$237.49,$249.99,0
206020-Z,$237.49,$249.99,0
