ItemRoot,UnitsLast365,Last365DaysSales,ItemAvgWeight,CountOnHand
80249,6.5,"$7,799.94",5.640,2
80253,1.0,$319.99,0.900,90
80258,0.5,$210.00,1.400,20
80259,0.0,$0.00,1.400,19
80325,15.0,"$22,499.85",7.500,11
80342,5.0,"$5,599.95",5.700,6
80348,4.0,"$4,479.96",5.500,5
80618,9.0,"$19,439.91",11.510,10
200054,2.5,"$1,199.98",2.400,7
200115,0.5,$260.00,2.400,12
200122,3.0,$899.97,1.100,24
200142,4.0,"$3,839.96",5.400,7
200143,12.0,"$11,519.88",5.400,0
200144,3.0,"$2,879.97",5.400,2
200168,5.0,"$6,249.95",6.200,4
200170,20.0,"$12,999.80",3.200,4
200171,13.0,"$6,369.87",2.000,2
200172,11.5,"$4,829.89",1.700,11
200177,7.5,"$7,499.93",5.000,2
200178,10.5,"$4,094.90",1.300,7
200180,8.0,"$9,999.92",6.000,6
200183,7.5,"$3,524.93",1.760,3
200208,9.5,"$6,174.91",2.900,12
200324,4.5,"$2,349.96",3.414,9
200344,3.0,"$4,153.82",6.585,13
200409,4.0,"$5,699.96",6.776,10
200552,0.0,$0.00,2.630,11
200555,10.5,"$5,459.90",2.400,6
200571,11.5,"$3,679.89",1.130,13
200727,3.5,"$2,335.97",3.060,35
200730,4.0,"$2,665.52",2.960,36
200758,0.5,$287.09,2.480,31
200760,1.0,$596.58,2.399,41
200763,6.5,"$4,647.44",2.999,16
201233,4.5,"$3,914.96",4.000,26
201236,8.0,"$3,919.92",1.950,32
201242,1.5,"$1,349.99",4.890,60
201285,2.5,"$2,174.98",3.500,30
201286,7.0,"$4,619.93",2.800,2
201287,4.0,"$2,199.96",2.100,11
201332,2.5,"$1,374.98",2.050,0
201334,6.5,"$2,274.94",1.330,16
201348,0.5,$495.00,5.000,30
201385,0.5,$535.00,5.320,16
201425,0.5,$360.00,3.460,32
201426,3.5,"$1,049.97",1.130,14
201450,2.0,$899.98,1.700,23
201453,5.0,"$1,299.95",0.760,12
201510,0.5,$215.00,1.570,15
201564,15.0,"$14,390.48",4.753,16
201582,4.0,"$3,999.96",5.350,5
201627,1.0,$599.99,2.740,9
201672,0.5,$300.00,2.920,10
201687,1.5,$974.99,3.260,8
201700,3.0,"$1,799.97",3.140,11
202109,3.5,"$1,924.97",2.130,9
202111,0.5,$310.00,2.760,11
202112,5.5,"$2,584.95",1.710,35
202115,0.5,$150.00,1.230,11
202120,3.5,"$1,119.97",1.210,12
202144,12.5,"$6,291.54",1.933,8
202172,14.0,"$7,839.86",2.240,16
202174,3.0,"$1,679.97",2.190,9
202184,9.5,"$3,039.91",1.400,11
202185,6.5,"$2,859.94",1.700,13
202196,1.5,$734.99,2.090,9
202200,3.5,"$1,539.97",1.760,8
202201,1.0,$439.99,1.500,11
202203,1.0,$319.99,1.190,18
202274,7.5,"$9,374.93",6.550,1
202275,4.0,"$5,999.96",8.080,0
202277,1.0,$999.99,4.900,12
202317,10.5,"$4,724.90",2.610,13
202320,3.5,"$1,574.97",2.330,6
202338,0.0,$0.00,4.205,16
202348,0.5,$850.00,14.550,11
202350,0.5,$955.00,9.610,20
202357,1.0,$755.55,3.596,18
202364,3.5,"$9,659.97",14.940,7
202444,0.5,$245.00,2.300,11
202501,2.0,$959.98,1.950,0
202599,4.0,"$1,919.96",1.850,9
202615,6.5,"$2,274.94",1.410,10
202736,4.5,"$2,339.96",2.400,5
202768,2.0,$439.98,0.690,1
202782,0.5,$370.00,2.470,12
202807,3.5,"$1,364.97",1.850,10
202811,0.0,$0.00,2.100,16
202832,49.0,"$29,399.51",2.590,7
202838,40.0,"$19,599.60",2.000,75
202848,56.0,"$33,599.44",2.420,10
202850,59.0,"$28,909.41",2.080,46
202854,1.5,"$1,304.99",4.320,8
202858,0.5,$375.00,3.620,16
202866,0.0,$0.00,3.700,56
202875,3.5,"$1,959.97",1.950,17
202880,0.5,$280.00,2.130,38
202893,3.0,"$11,169.44",18.550,18
202900,12.5,"$12,799.88",4.619,35
202907,7.0,"$4,795.78",2.755,41
202913,16.5,"$21,944.84",6.453,12
202914,3.0,"$3,979.97",5.855,6
202922,4.0,"$2,349.74",2.021,90
202942,30.5,"$64,129.96",10.418,19
202944,22.0,"$37,253.11",7.957,30
202952,4.0,"$4,753.13",5.232,41
202956,11.0,"$37,079.89",16.782,22
202958,55.0,"$65,370.88",5.232,147
202960,29.0,"$18,397.31",2.405,50
202961,46.0,"$23,150.77",1.727,73
202972,22.0,"$43,160.52",9.367,27
202973,21.5,"$12,424.64",1.989,100
202974,51.0,"$36,733.66",3.000,36
202976,24.5,"$18,924.76",3.291,147
202978,42.0,"$29,658.04",2.939,52
202980,40.5,"$22,525.31",1.983,84
202982,7.5,"$11,547.15",6.889,27
202986,4.5,"$2,373.17",1.814,191
202990,67.5,"$40,298.26",2.341,47
202999,19.5,"$34,104.28",8.366,19
203000,106.0,"$120,938.32",5.000,64
